Kepler_ID,2MASS ID,Teff,Log_G,Metallicity (solar=0.0),E(B-V),A_V,Radius (solar=1.0),Photometry_Qual,Astrophysics_Qual
1027707,19253846+3646103,,,,,,,6,0
1027900,19254767+3644073,,,,,,,8,0
1160655,19232193+3650379,,,,,,,6,0
1292834,19235200+3656466,,,,,,,6,0
1293521,19243639+3659472,,,,,,,6,0
1293835,19245288+3656081,,,,,,,6,0
1294953,19255205+3654506,,,,,,,3,0
1296110,19264653+3657564,,,,,,,6,0
1296779,19272164+3659509,,,,,,,5,0
1297510,19280008+3658345,,,,,,,8,0
1430199,19233608+3701020,,,,,,,6,0
1432047,19252409+3700362,,,,,,,8,0
1433477,19263655+3701210,,,,,,,6,0
1434988,,,,,,,,2,0
1435008,19275726+3703577,,,,,,,5,0
1569823,19222790+3711159,,,,,,,8,0
1569849,19222956+3710398,,,,,,,3,0
1570711,19231633+3711564,,,,,,,5,0
1572768,19250870+3707262,,,,,,,8,0
1574550,19263547+3707461,,,,,,,5,0
1576756,19282469+3706035,,,,,,,4,0
1577003,19283611+3711243,,,,,,,2,0
1577039,19283769+3711187,,,,,,,3,0
1701554,19044298+3717199,,,,,,,8,0
1701679,19045072+3717210,,,,,,,6,0
1717384,19221088+3716559,,,,,,,7,0
1717867,19223637+3717578,,,,,,,5,0
1718360,19230449+3713489,,,,,,,8,0
1718537,19231573+3717463,,,,,,,6,0
1719065,19234795+3712483,,,,,,,6,0
1719262,19235972+3717245,,,,,,,8,0
1719557,19241797+3712114,,,,,,,6,0
1720048,19244722+3714508,,,,,,,4,0
1720224,19245823+3714105,,,,,,,5,0
1720554,19251815+3714429,,,,,,,2,0
1721724,19261985+3715230,,,,,,,5,0
1721725,19261996+3715268,,,,,,,4,0
1722956,19272098+3716014,,,,,,,6,0
1723146,19273166+3712073,,,,,,,6,0
1723157,19273216+3714118,,,,,,,6,0
1723191,19273427+3712219,,,,,,,6,0
1724234,19282464+3713536,,,,,,,4,0
1725533,19292634+3713542,,,,,,,5,0
1849235,19043590+3723421,,,,,,,8,0
1849249,19043735+3723233,,,,,,,8,0
1849334,19044270+3718019,,,,,,,5,0
1849415,19044860+3721054,,,,,,,6,0
1850285,19055152+3723494,,,,,,,2,0
1864258,19215994+3721449,,,,,,,6,0
1864365,19220585+3722333,,,,,,,5,0
1865448,19230647+3718437,,,,,,,6,0
1865744,19232331+3720190,,,,,,,6,0
1865910,19233225+3719585,,,,,,,8,0
1866235,19235025+3723435,,,,,,,8,0
1866366,19235750+3719393,,,,,,,8,0
1867078,19244109+3720575,,,,,,,6,0
1867844,19252687+3720396,,,,,,,6,0
1870385,19273932+3720518,,,,,,,6,0
1870849,19280222+3718349,,,,,,,8,0
1871148,19281490+3720112,,,,,,,6,0
1871967,19285804+3719133,,,,,,,4,0
1872199,19291070+3723329,,,,,,,6,0
1873204,19300331+3718283,,,,,,,8,0
1995461,19043127+3724384,,,,,,,8,0
1995489,19043381+3729486,,,,,,,8,0
1995522,19043628+3725559,,,,,,,6,0
1995710,19045028+3725165,,,,,,,6,0
1995796,19045573+3727157,,,,,,,8,0
1996169,19052170+3724248,,,,,,,6,0
1996260,19052760+3726126,,,,,,,6,0
1996408,19053865+3724326,,,,,,,6,0
1996473,19054265+3728348,,,,,,,8,0
2010345,19214309+3725491,,,,,,,6,0
2011428,19224886+3725429,,,,,,,4,0
2012273,19233758+3726478,,,,,,,6,0
2012426,19234608+3729332,,,,,,,6,0
2012724,19240305+3727526,,,,,,,6,0
2013145,19242691+3725178,,,,,,,6,0
2015424,19263442+3729554,,,,,,,6,0
2015864,19265973+3729027,,,,,,,6,0
2015983,19270719+3729468,,,,,,,5,0
2016447,19273471+3728321,,,,,,,5,0
2016492,19273665+3725459,,,,,,,2,0
2017534,19282718+3728387,,,,,,,8,0
2017739,19283797+3724029,,,,,,,5,0
2017962,19285077+3726386,,,,,,,6,0
2018112,19285915+3726404,,,,,,,6,0
2018280,19290872+3729011,,,,,,,6,0
2018432,19291725+3728359,,,,,,,5,0
